id,title,segment,function,sub_function,seniority_level,level_rank,decision_power,budget_authority,signing_threshold_usd,veto_power,proximity_to_power,reports_to_typical,scope,influence_note,send_priority,pitch_angle,cta
1134,"Deputy Director, Operational Risk",X_Blocker,Corporate,Enterprise Risk Management,Director,8,Gatekeeper,Departmental,$25K-$250K,Yes,Is Decision Maker,"Senior Director / Vice President, Corporate",Function,"Controls access and approval flow; can stop a decision, cannot make one. Holds veto in Enterprise Risk Management review.",4,"Do not pitch. Assurance content only, or suppress entirely.",None - suppress unless you sell into this function.
1135,"Deputy Director, Risk Analytics",X_Blocker,Corporate,Enterprise Risk Management,Director,8,Gatekeeper,Departmental,$25K-$250K,Yes,Is Decision Maker,"Senior Director / Vice President, Corporate",Function,"Controls access and approval flow; can stop a decision, cannot make one. Holds veto in Enterprise Risk Management review.",4,"Do not pitch. Assurance content only, or suppress entirely.",None - suppress unless you sell into this function.
1136,"Deputy Director, Risk Governance",X_Blocker,Corporate,Enterprise Risk Management,Director,8,Gatekeeper,Departmental,$25K-$250K,Yes,Is Decision Maker,"Senior Director / Vice President, Corporate",Function,"Controls access and approval flow; can stop a decision, cannot make one. Holds veto in Enterprise Risk Management review.",4,"Do not pitch. Assurance content only, or suppress entirely.",None - suppress unless you sell into this function.
1137,"Director, Business Resilience",X_Blocker,Corporate,Enterprise Risk Management,Director,8,Gatekeeper,Departmental,$25K-$250K,Yes,Is Decision Maker,"Senior Director / Vice President, Corporate",Function,"Controls access and approval flow; can stop a decision, cannot make one. Holds veto in Enterprise Risk Management review.",4,"Do not pitch. Assurance content only, or suppress entirely.",None - suppress unless you sell into this function.
1138,"Director, Credit Risk",X_Blocker,Corporate,Enterprise Risk Management,Director,8,Gatekeeper,Departmental,$25K-$250K,Yes,Is Decision Maker,"Senior Director / Vice President, Corporate",Function,"Controls access and approval flow; can stop a decision, cannot make one. Holds veto in Enterprise Risk Management review.",4,"Do not pitch. Assurance content only, or suppress entirely.",None - suppress unless you sell into this function.
1139,"Director, Credit Risk - APAC",X_Blocker,Corporate,Enterprise Risk Management,Director,8,Gatekeeper,Departmental,$25K-$250K,Yes,Is Decision Maker,"Senior Director / Vice President, Corporate",APAC,"Controls access and approval flow; can stop a decision, cannot make one. Holds veto in Enterprise Risk Management review.",4,"Do not pitch. Assurance content only, or suppress entirely.",None - suppress unless you sell into this function.
1140,"Director, Credit Risk - EMEA",X_Blocker,Corporate,Enterprise Risk Management,Director,8,Gatekeeper,Departmental,$25K-$250K,Yes,Is Decision Maker,"Senior Director / Vice President, Corporate",EMEA,"Controls access and approval flow; can stop a decision, cannot make one. Holds veto in Enterprise Risk Management review.",4,"Do not pitch. Assurance content only, or suppress entirely.",None - suppress unless you sell into this function.
1141,"Director, Credit Risk - Greater China",X_Blocker,Corporate,Enterprise Risk Management,Director,8,Gatekeeper,Departmental,$25K-$250K,Yes,Is Decision Maker,"Senior Director / Vice President, Corporate",Greater China,"Controls access and approval flow; can stop a decision, cannot make one. Holds veto in Enterprise Risk Management review.",4,"Do not pitch. Assurance content only, or suppress entirely.",None - suppress unless you sell into this function.
1142,"Director, Credit Risk - India",X_Blocker,Corporate,Enterprise Risk Management,Director,8,Gatekeeper,Departmental,$25K-$250K,Yes,Is Decision Maker,"Senior Director / Vice President, Corporate",India,"Controls access and approval flow; can stop a decision, cannot make one. Holds veto in Enterprise Risk Management review.",4,"Do not pitch. Assurance content only, or suppress entirely.",None - suppress unless you sell into this function.
1143,"Director, Credit Risk - Japan",X_Blocker,Corporate,Enterprise Risk Management,Director,8,Gatekeeper,Departmental,$25K-$250K,Yes,Is Decision Maker,"Senior Director / Vice President, Corporate",Japan,"Controls access and approval flow; can stop a decision, cannot make one. Holds veto in Enterprise Risk Management review.",4,"Do not pitch. Assurance content only, or suppress entirely.",None - suppress unless you sell into this function.
1144,"Director, Credit Risk - Latin America",X_Blocker,Corporate,Enterprise Risk Management,Director,8,Gatekeeper,Departmental,$25K-$250K,Yes,Is Decision Maker,"Senior Director / Vice President, Corporate",Latin America,"Controls access and approval flow; can stop a decision, cannot make one. Holds veto in Enterprise Risk Management review.",4,"Do not pitch. Assurance content only, or suppress entirely.",None - suppress unless you sell into this function.
1145,"Director, Credit Risk - North America",X_Blocker,Corporate,Enterprise Risk Management,Director,8,Gatekeeper,Departmental,$25K-$250K,Yes,Is Decision Maker,"Senior Director / Vice President, Corporate",North America,"Controls access and approval flow; can stop a decision, cannot make one. Holds veto in Enterprise Risk Management review.",4,"Do not pitch. Assurance content only, or suppress entirely.",None - suppress unless you sell into this function.
1146,"Director, Enterprise Risk Management",X_Blocker,Corporate,Enterprise Risk Management,Director,8,Gatekeeper,Departmental,$25K-$250K,Yes,Is Decision Maker,"Senior Director / Vice President, Corporate",Function,"Controls access and approval flow; can stop a decision, cannot make one. Holds veto in Enterprise Risk Management review.",4,"Do not pitch. Assurance content only, or suppress entirely.",None - suppress unless you sell into this function.
1147,"Director, Enterprise Risk Management - APAC",X_Blocker,Corporate,Enterprise Risk Management,Director,8,Gatekeeper,Departmental,$25K-$250K,Yes,Is Decision Maker,"Senior Director / Vice President, Corporate",APAC,"Controls access and approval flow; can stop a decision, cannot make one. Holds veto in Enterprise Risk Management review.",4,"Do not pitch. Assurance content only, or suppress entirely.",None - suppress unless you sell into this function.
1148,"Director, Enterprise Risk Management - EMEA",X_Blocker,Corporate,Enterprise Risk Management,Director,8,Gatekeeper,Departmental,$25K-$250K,Yes,Is Decision Maker,"Senior Director / Vice President, Corporate",EMEA,"Controls access and approval flow; can stop a decision, cannot make one. Holds veto in Enterprise Risk Management review.",4,"Do not pitch. Assurance content only, or suppress entirely.",None - suppress unless you sell into this function.
1149,"Director, Enterprise Risk Management - Greater China",X_Blocker,Corporate,Enterprise Risk Management,Director,8,Gatekeeper,Departmental,$25K-$250K,Yes,Is Decision Maker,"Senior Director / Vice President, Corporate",Greater China,"Controls access and approval flow; can stop a decision, cannot make one. Holds veto in Enterprise Risk Management review.",4,"Do not pitch. Assurance content only, or suppress entirely.",None - suppress unless you sell into this function.
1150,"Director, Enterprise Risk Management - India",X_Blocker,Corporate,Enterprise Risk Management,Director,8,Gatekeeper,Departmental,$25K-$250K,Yes,Is Decision Maker,"Senior Director / Vice President, Corporate",India,"Controls access and approval flow; can stop a decision, cannot make one. Holds veto in Enterprise Risk Management review.",4,"Do not pitch. Assurance content only, or suppress entirely.",None - suppress unless you sell into this function.
1151,"Director, Enterprise Risk Management - Japan",X_Blocker,Corporate,Enterprise Risk Management,Director,8,Gatekeeper,Departmental,$25K-$250K,Yes,Is Decision Maker,"Senior Director / Vice President, Corporate",Japan,"Controls access and approval flow; can stop a decision, cannot make one. Holds veto in Enterprise Risk Management review.",4,"Do not pitch. Assurance content only, or suppress entirely.",None - suppress unless you sell into this function.
1152,"Director, Enterprise Risk Management - Latin America",X_Blocker,Corporate,Enterprise Risk Management,Director,8,Gatekeeper,Departmental,$25K-$250K,Yes,Is Decision Maker,"Senior Director / Vice President, Corporate",Latin America,"Controls access and approval flow; can stop a decision, cannot make one. Holds veto in Enterprise Risk Management review.",4,"Do not pitch. Assurance content only, or suppress entirely.",None - suppress unless you sell into this function.
1153,"Director, Enterprise Risk Management - North America",X_Blocker,Corporate,Enterprise Risk Management,Director,8,Gatekeeper,Departmental,$25K-$250K,Yes,Is Decision Maker,"Senior Director / Vice President, Corporate",North America,"Controls access and approval flow; can stop a decision, cannot make one. Holds veto in Enterprise Risk Management review.",4,"Do not pitch. Assurance content only, or suppress entirely.",None - suppress unless you sell into this function.
1154,"Director, Financial Risk - APAC",X_Blocker,Corporate,Enterprise Risk Management,Director,8,Gatekeeper,Departmental,$25K-$250K,Yes,Is Decision Maker,"Senior Director / Vice President, Corporate",APAC,"Controls access and approval flow; can stop a decision, cannot make one. Holds veto in Enterprise Risk Management review.",4,"Do not pitch. Assurance content only, or suppress entirely.",None - suppress unless you sell into this function.
1155,"Director, Financial Risk - EMEA",X_Blocker,Corporate,Enterprise Risk Management,Director,8,Gatekeeper,Departmental,$25K-$250K,Yes,Is Decision Maker,"Senior Director / Vice President, Corporate",EMEA,"Controls access and approval flow; can stop a decision, cannot make one. Holds veto in Enterprise Risk Management review.",4,"Do not pitch. Assurance content only, or suppress entirely.",None - suppress unless you sell into this function.
1156,"Director, Financial Risk - Greater China",X_Blocker,Corporate,Enterprise Risk Management,Director,8,Gatekeeper,Departmental,$25K-$250K,Yes,Is Decision Maker,"Senior Director / Vice President, Corporate",Greater China,"Controls access and approval flow; can stop a decision, cannot make one. Holds veto in Enterprise Risk Management review.",4,"Do not pitch. Assurance content only, or suppress entirely.",None - suppress unless you sell into this function.
1157,"Director, Financial Risk - India",X_Blocker,Corporate,Enterprise Risk Management,Director,8,Gatekeeper,Departmental,$25K-$250K,Yes,Is Decision Maker,"Senior Director / Vice President, Corporate",India,"Controls access and approval flow; can stop a decision, cannot make one. Holds veto in Enterprise Risk Management review.",4,"Do not pitch. Assurance content only, or suppress entirely.",None - suppress unless you sell into this function.
1158,"Director, Financial Risk - Japan",X_Blocker,Corporate,Enterprise Risk Management,Director,8,Gatekeeper,Departmental,$25K-$250K,Yes,Is Decision Maker,"Senior Director / Vice President, Corporate",Japan,"Controls access and approval flow; can stop a decision, cannot make one. Holds veto in Enterprise Risk Management review.",4,"Do not pitch. Assurance content only, or suppress entirely.",None - suppress unless you sell into this function.
1159,"Director, Financial Risk - Latin America",X_Blocker,Corporate,Enterprise Risk Management,Director,8,Gatekeeper,Departmental,$25K-$250K,Yes,Is Decision Maker,"Senior Director / Vice President, Corporate",Latin America,"Controls access and approval flow; can stop a decision, cannot make one. Holds veto in Enterprise Risk Management review.",4,"Do not pitch. Assurance content only, or suppress entirely.",None - suppress unless you sell into this function.
1160,"Director, Financial Risk - North America",X_Blocker,Corporate,Enterprise Risk Management,Director,8,Gatekeeper,Departmental,$25K-$250K,Yes,Is Decision Maker,"Senior Director / Vice President, Corporate",North America,"Controls access and approval flow; can stop a decision, cannot make one. Holds veto in Enterprise Risk Management review.",4,"Do not pitch. Assurance content only, or suppress entirely.",None - suppress unless you sell into this function.
1161,"Director, Operational Risk",X_Blocker,Corporate,Enterprise Risk Management,Director,8,Gatekeeper,Departmental,$25K-$250K,Yes,Is Decision Maker,"Senior Director / Vice President, Corporate",Function,"Controls access and approval flow; can stop a decision, cannot make one. Holds veto in Enterprise Risk Management review.",4,"Do not pitch. Assurance content only, or suppress entirely.",None - suppress unless you sell into this function.
1162,"Director, Operational Risk - APAC",X_Blocker,Corporate,Enterprise Risk Management,Director,8,Gatekeeper,Departmental,$25K-$250K,Yes,Is Decision Maker,"Senior Director / Vice President, Corporate",APAC,"Controls access and approval flow; can stop a decision, cannot make one. Holds veto in Enterprise Risk Management review.",4,"Do not pitch. Assurance content only, or suppress entirely.",None - suppress unless you sell into this function.
1163,"Director, Operational Risk - EMEA",X_Blocker,Corporate,Enterprise Risk Management,Director,8,Gatekeeper,Departmental,$25K-$250K,Yes,Is Decision Maker,"Senior Director / Vice President, Corporate",EMEA,"Controls access and approval flow; can stop a decision, cannot make one. Holds veto in Enterprise Risk Management review.",4,"Do not pitch. Assurance content only, or suppress entirely.",None - suppress unless you sell into this function.
1164,"Director, Operational Risk - Greater China",X_Blocker,Corporate,Enterprise Risk Management,Director,8,Gatekeeper,Departmental,$25K-$250K,Yes,Is Decision Maker,"Senior Director / Vice President, Corporate",Greater China,"Controls access and approval flow; can stop a decision, cannot make one. Holds veto in Enterprise Risk Management review.",4,"Do not pitch. Assurance content only, or suppress entirely.",None - suppress unless you sell into this function.
1165,"Director, Operational Risk - India",X_Blocker,Corporate,Enterprise Risk Management,Director,8,Gatekeeper,Departmental,$25K-$250K,Yes,Is Decision Maker,"Senior Director / Vice President, Corporate",India,"Controls access and approval flow; can stop a decision, cannot make one. Holds veto in Enterprise Risk Management review.",4,"Do not pitch. Assurance content only, or suppress entirely.",None - suppress unless you sell into this function.
1166,"Director, Operational Risk - Japan",X_Blocker,Corporate,Enterprise Risk Management,Director,8,Gatekeeper,Departmental,$25K-$250K,Yes,Is Decision Maker,"Senior Director / Vice President, Corporate",Japan,"Controls access and approval flow; can stop a decision, cannot make one. Holds veto in Enterprise Risk Management review.",4,"Do not pitch. Assurance content only, or suppress entirely.",None - suppress unless you sell into this function.
1167,"Director, Operational Risk - Latin America",X_Blocker,Corporate,Enterprise Risk Management,Director,8,Gatekeeper,Departmental,$25K-$250K,Yes,Is Decision Maker,"Senior Director / Vice President, Corporate",Latin America,"Controls access and approval flow; can stop a decision, cannot make one. Holds veto in Enterprise Risk Management review.",4,"Do not pitch. Assurance content only, or suppress entirely.",None - suppress unless you sell into this function.
1168,"Director, Operational Risk - North America",X_Blocker,Corporate,Enterprise Risk Management,Director,8,Gatekeeper,Departmental,$25K-$250K,Yes,Is Decision Maker,"Senior Director / Vice President, Corporate",North America,"Controls access and approval flow; can stop a decision, cannot make one. Holds veto in Enterprise Risk Management review.",4,"Do not pitch. Assurance content only, or suppress entirely.",None - suppress unless you sell into this function.
1169,"Director, Risk Analytics",X_Blocker,Corporate,Enterprise Risk Management,Director,8,Gatekeeper,Departmental,$25K-$250K,Yes,Is Decision Maker,"Senior Director / Vice President, Corporate",Function,"Controls access and approval flow; can stop a decision, cannot make one. Holds veto in Enterprise Risk Management review.",4,"Do not pitch. Assurance content only, or suppress entirely.",None - suppress unless you sell into this function.
1170,"Director, Risk Analytics - APAC",X_Blocker,Corporate,Enterprise Risk Management,Director,8,Gatekeeper,Departmental,$25K-$250K,Yes,Is Decision Maker,"Senior Director / Vice President, Corporate",APAC,"Controls access and approval flow; can stop a decision, cannot make one. Holds veto in Enterprise Risk Management review.",4,"Do not pitch. Assurance content only, or suppress entirely.",None - suppress unless you sell into this function.
1171,"Director, Risk Analytics - EMEA",X_Blocker,Corporate,Enterprise Risk Management,Director,8,Gatekeeper,Departmental,$25K-$250K,Yes,Is Decision Maker,"Senior Director / Vice President, Corporate",EMEA,"Controls access and approval flow; can stop a decision, cannot make one. Holds veto in Enterprise Risk Management review.",4,"Do not pitch. Assurance content only, or suppress entirely.",None - suppress unless you sell into this function.
1172,"Director, Risk Analytics - Greater China",X_Blocker,Corporate,Enterprise Risk Management,Director,8,Gatekeeper,Departmental,$25K-$250K,Yes,Is Decision Maker,"Senior Director / Vice President, Corporate",Greater China,"Controls access and approval flow; can stop a decision, cannot make one. Holds veto in Enterprise Risk Management review.",4,"Do not pitch. Assurance content only, or suppress entirely.",None - suppress unless you sell into this function.
1173,"Director, Risk Analytics - India",X_Blocker,Corporate,Enterprise Risk Management,Director,8,Gatekeeper,Departmental,$25K-$250K,Yes,Is Decision Maker,"Senior Director / Vice President, Corporate",India,"Controls access and approval flow; can stop a decision, cannot make one. Holds veto in Enterprise Risk Management review.",4,"Do not pitch. Assurance content only, or suppress entirely.",None - suppress unless you sell into this function.
1174,"Director, Risk Analytics - Japan",X_Blocker,Corporate,Enterprise Risk Management,Director,8,Gatekeeper,Departmental,$25K-$250K,Yes,Is Decision Maker,"Senior Director / Vice President, Corporate",Japan,"Controls access and approval flow; can stop a decision, cannot make one. Holds veto in Enterprise Risk Management review.",4,"Do not pitch. Assurance content only, or suppress entirely.",None - suppress unless you sell into this function.
1175,"Director, Risk Analytics - Latin America",X_Blocker,Corporate,Enterprise Risk Management,Director,8,Gatekeeper,Departmental,$25K-$250K,Yes,Is Decision Maker,"Senior Director / Vice President, Corporate",Latin America,"Controls access and approval flow; can stop a decision, cannot make one. Holds veto in Enterprise Risk Management review.",4,"Do not pitch. Assurance content only, or suppress entirely.",None - suppress unless you sell into this function.
1176,"Director, Risk Analytics - North America",X_Blocker,Corporate,Enterprise Risk Management,Director,8,Gatekeeper,Departmental,$25K-$250K,Yes,Is Decision Maker,"Senior Director / Vice President, Corporate",North America,"Controls access and approval flow; can stop a decision, cannot make one. Holds veto in Enterprise Risk Management review.",4,"Do not pitch. Assurance content only, or suppress entirely.",None - suppress unless you sell into this function.
1177,"Director, Risk Governance",X_Blocker,Corporate,Enterprise Risk Management,Director,8,Gatekeeper,Departmental,$25K-$250K,Yes,Is Decision Maker,"Senior Director / Vice President, Corporate",Function,"Controls access and approval flow; can stop a decision, cannot make one. Holds veto in Enterprise Risk Management review.",4,"Do not pitch. Assurance content only, or suppress entirely.",None - suppress unless you sell into this function.
1178,"EMEA Director, Enterprise Risk Management",X_Blocker,Corporate,Enterprise Risk Management,Director,8,Gatekeeper,Departmental,$25K-$250K,Yes,Is Decision Maker,"Senior Director / Vice President, Corporate",EMEA,"Controls access and approval flow; can stop a decision, cannot make one. Holds veto in Enterprise Risk Management review.",4,"Do not pitch. Assurance content only, or suppress entirely.",None - suppress unless you sell into this function.
1179,"EMEA Director, Financial Risk",X_Blocker,Corporate,Enterprise Risk Management,Director,8,Gatekeeper,Departmental,$25K-$250K,Yes,Is Decision Maker,"Senior Director / Vice President, Corporate",EMEA,"Controls access and approval flow; can stop a decision, cannot make one. Holds veto in Enterprise Risk Management review.",4,"Do not pitch. Assurance content only, or suppress entirely.",None - suppress unless you sell into this function.
1180,"EMEA Director, Operational Risk",X_Blocker,Corporate,Enterprise Risk Management,Director,8,Gatekeeper,Departmental,$25K-$250K,Yes,Is Decision Maker,"Senior Director / Vice President, Corporate",EMEA,"Controls access and approval flow; can stop a decision, cannot make one. Holds veto in Enterprise Risk Management review.",4,"Do not pitch. Assurance content only, or suppress entirely.",None - suppress unless you sell into this function.
1181,Enterprise Risk Management Director,X_Blocker,Corporate,Enterprise Risk Management,Director,8,Gatekeeper,Departmental,$25K-$250K,Yes,Is Decision Maker,"Senior Director / Vice President, Corporate",Function,"Controls access and approval flow; can stop a decision, cannot make one. Holds veto in Enterprise Risk Management review.",4,"Do not pitch. Assurance content only, or suppress entirely.",None - suppress unless you sell into this function.
1182,"Greater China Director, Enterprise Risk Management",X_Blocker,Corporate,Enterprise Risk Management,Director,8,Gatekeeper,Departmental,$25K-$250K,Yes,Is Decision Maker,"Senior Director / Vice President, Corporate",Greater China,"Controls access and approval flow; can stop a decision, cannot make one. Holds veto in Enterprise Risk Management review.",4,"Do not pitch. Assurance content only, or suppress entirely.",None - suppress unless you sell into this function.
1183,"Greater China Director, Financial Risk",X_Blocker,Corporate,Enterprise Risk Management,Director,8,Gatekeeper,Departmental,$25K-$250K,Yes,Is Decision Maker,"Senior Director / Vice President, Corporate",Greater China,"Controls access and approval flow; can stop a decision, cannot make one. Holds veto in Enterprise Risk Management review.",4,"Do not pitch. Assurance content only, or suppress entirely.",None - suppress unless you sell into this function.
1184,"Greater China Director, Operational Risk",X_Blocker,Corporate,Enterprise Risk Management,Director,8,Gatekeeper,Departmental,$25K-$250K,Yes,Is Decision Maker,"Senior Director / Vice President, Corporate",Greater China,"Controls access and approval flow; can stop a decision, cannot make one. Holds veto in Enterprise Risk Management review.",4,"Do not pitch. Assurance content only, or suppress entirely.",None - suppress unless you sell into this function.
1185,Head of Business Resilience,X_Blocker,Corporate,Enterprise Risk Management,Director,8,Gatekeeper,Departmental,$25K-$250K,Yes,Is Decision Maker,"Senior Director / Vice President, Corporate",Function,"Controls access and approval flow; can stop a decision, cannot make one. Holds veto in Enterprise Risk Management review.",4,"Do not pitch. Assurance content only, or suppress entirely.",None - suppress unless you sell into this function.
1186,Head of Credit Risk,X_Blocker,Corporate,Enterprise Risk Management,Director,8,Gatekeeper,Departmental,$25K-$250K,Yes,Is Decision Maker,"Senior Director / Vice President, Corporate",Function,"Controls access and approval flow; can stop a decision, cannot make one. Holds veto in Enterprise Risk Management review.",4,"Do not pitch. Assurance content only, or suppress entirely.",None - suppress unless you sell into this function.
1187,Head of Enterprise Risk Management,X_Blocker,Corporate,Enterprise Risk Management,Director,8,Gatekeeper,Departmental,$25K-$250K,Yes,Is Decision Maker,"Senior Director / Vice President, Corporate",Function,"Controls access and approval flow; can stop a decision, cannot make one. Holds veto in Enterprise Risk Management review.",4,"Do not pitch. Assurance content only, or suppress entirely.",None - suppress unless you sell into this function.
1188,Head of Operational Risk,X_Blocker,Corporate,Enterprise Risk Management,Director,8,Gatekeeper,Departmental,$25K-$250K,Yes,Is Decision Maker,"Senior Director / Vice President, Corporate",Function,"Controls access and approval flow; can stop a decision, cannot make one. Holds veto in Enterprise Risk Management review.",4,"Do not pitch. Assurance content only, or suppress entirely.",None - suppress unless you sell into this function.
1189,Head of Risk Analytics,X_Blocker,Corporate,Enterprise Risk Management,Director,8,Gatekeeper,Departmental,$25K-$250K,Yes,Is Decision Maker,"Senior Director / Vice President, Corporate",Function,"Controls access and approval flow; can stop a decision, cannot make one. Holds veto in Enterprise Risk Management review.",4,"Do not pitch. Assurance content only, or suppress entirely.",None - suppress unless you sell into this function.
1190,Head of Risk Governance,X_Blocker,Corporate,Enterprise Risk Management,Director,8,Gatekeeper,Departmental,$25K-$250K,Yes,Is Decision Maker,"Senior Director / Vice President, Corporate",Function,"Controls access and approval flow; can stop a decision, cannot make one. Holds veto in Enterprise Risk Management review.",4,"Do not pitch. Assurance content only, or suppress entirely.",None - suppress unless you sell into this function.
1191,"India Director, Enterprise Risk Management",X_Blocker,Corporate,Enterprise Risk Management,Director,8,Gatekeeper,Departmental,$25K-$250K,Yes,Is Decision Maker,"Senior Director / Vice President, Corporate",India,"Controls access and approval flow; can stop a decision, cannot make one. Holds veto in Enterprise Risk Management review.",4,"Do not pitch. Assurance content only, or suppress entirely.",None - suppress unless you sell into this function.
1192,"India Director, Financial Risk",X_Blocker,Corporate,Enterprise Risk Management,Director,8,Gatekeeper,Departmental,$25K-$250K,Yes,Is Decision Maker,"Senior Director / Vice President, Corporate",India,"Controls access and approval flow; can stop a decision, cannot make one. Holds veto in Enterprise Risk Management review.",4,"Do not pitch. Assurance content only, or suppress entirely.",None - suppress unless you sell into this function.
1193,"India Director, Operational Risk",X_Blocker,Corporate,Enterprise Risk Management,Director,8,Gatekeeper,Departmental,$25K-$250K,Yes,Is Decision Maker,"Senior Director / Vice President, Corporate",India,"Controls access and approval flow; can stop a decision, cannot make one. Holds veto in Enterprise Risk Management review.",4,"Do not pitch. Assurance content only, or suppress entirely.",None - suppress unless you sell into this function.
1194,"Japan Director, Enterprise Risk Management",X_Blocker,Corporate,Enterprise Risk Management,Director,8,Gatekeeper,Departmental,$25K-$250K,Yes,Is Decision Maker,"Senior Director / Vice President, Corporate",Japan,"Controls access and approval flow; can stop a decision, cannot make one. Holds veto in Enterprise Risk Management review.",4,"Do not pitch. Assurance content only, or suppress entirely.",None - suppress unless you sell into this function.
1195,"Japan Director, Financial Risk",X_Blocker,Corporate,Enterprise Risk Management,Director,8,Gatekeeper,Departmental,$25K-$250K,Yes,Is Decision Maker,"Senior Director / Vice President, Corporate",Japan,"Controls access and approval flow; can stop a decision, cannot make one. Holds veto in Enterprise Risk Management review.",4,"Do not pitch. Assurance content only, or suppress entirely.",None - suppress unless you sell into this function.
1196,"Japan Director, Operational Risk",X_Blocker,Corporate,Enterprise Risk Management,Director,8,Gatekeeper,Departmental,$25K-$250K,Yes,Is Decision Maker,"Senior Director / Vice President, Corporate",Japan,"Controls access and approval flow; can stop a decision, cannot make one. Holds veto in Enterprise Risk Management review.",4,"Do not pitch. Assurance content only, or suppress entirely.",None - suppress unless you sell into this function.
1197,"Latin America Director, Enterprise Risk Management",X_Blocker,Corporate,Enterprise Risk Management,Director,8,Gatekeeper,Departmental,$25K-$250K,Yes,Is Decision Maker,"Senior Director / Vice President, Corporate",Latin America,"Controls access and approval flow; can stop a decision, cannot make one. Holds veto in Enterprise Risk Management review.",4,"Do not pitch. Assurance content only, or suppress entirely.",None - suppress unless you sell into this function.
1198,"Latin America Director, Financial Risk",X_Blocker,Corporate,Enterprise Risk Management,Director,8,Gatekeeper,Departmental,$25K-$250K,Yes,Is Decision Maker,"Senior Director / Vice President, Corporate",Latin America,"Controls access and approval flow; can stop a decision, cannot make one. Holds veto in Enterprise Risk Management review.",4,"Do not pitch. Assurance content only, or suppress entirely.",None - suppress unless you sell into this function.
1199,"Latin America Director, Operational Risk",X_Blocker,Corporate,Enterprise Risk Management,Director,8,Gatekeeper,Departmental,$25K-$250K,Yes,Is Decision Maker,"Senior Director / Vice President, Corporate",Latin America,"Controls access and approval flow; can stop a decision, cannot make one. Holds veto in Enterprise Risk Management review.",4,"Do not pitch. Assurance content only, or suppress entirely.",None - suppress unless you sell into this function.
1200,"North America Director, Enterprise Risk Management",X_Blocker,Corporate,Enterprise Risk Management,Director,8,Gatekeeper,Departmental,$25K-$250K,Yes,Is Decision Maker,"Senior Director / Vice President, Corporate",North America,"Controls access and approval flow; can stop a decision, cannot make one. Holds veto in Enterprise Risk Management review.",4,"Do not pitch. Assurance content only, or suppress entirely.",None - suppress unless you sell into this function.
1201,"North America Director, Financial Risk",X_Blocker,Corporate,Enterprise Risk Management,Director,8,Gatekeeper,Departmental,$25K-$250K,Yes,Is Decision Maker,"Senior Director / Vice President, Corporate",North America,"Controls access and approval flow; can stop a decision, cannot make one. Holds veto in Enterprise Risk Management review.",4,"Do not pitch. Assurance content only, or suppress entirely.",None - suppress unless you sell into this function.
1202,"North America Director, Operational Risk",X_Blocker,Corporate,Enterprise Risk Management,Director,8,Gatekeeper,Departmental,$25K-$250K,Yes,Is Decision Maker,"Senior Director / Vice President, Corporate",North America,"Controls access and approval flow; can stop a decision, cannot make one. Holds veto in Enterprise Risk Management review.",4,"Do not pitch. Assurance content only, or suppress entirely.",None - suppress unless you sell into this function.
1203,Operational Risk Director,X_Blocker,Corporate,Enterprise Risk Management,Director,8,Gatekeeper,Departmental,$25K-$250K,Yes,Is Decision Maker,"Senior Director / Vice President, Corporate",Function,"Controls access and approval flow; can stop a decision, cannot make one. Holds veto in Enterprise Risk Management review.",4,"Do not pitch. Assurance content only, or suppress entirely.",None - suppress unless you sell into this function.
1204,Risk Analytics Director,X_Blocker,Corporate,Enterprise Risk Management,Director,8,Gatekeeper,Departmental,$25K-$250K,Yes,Is Decision Maker,"Senior Director / Vice President, Corporate",Function,"Controls access and approval flow; can stop a decision, cannot make one. Holds veto in Enterprise Risk Management review.",4,"Do not pitch. Assurance content only, or suppress entirely.",None - suppress unless you sell into this function.
1205,Risk Governance Director,X_Blocker,Corporate,Enterprise Risk Management,Director,8,Gatekeeper,Departmental,$25K-$250K,Yes,Is Decision Maker,"Senior Director / Vice President, Corporate",Function,"Controls access and approval flow; can stop a decision, cannot make one. Holds veto in Enterprise Risk Management review.",4,"Do not pitch. Assurance content only, or suppress entirely.",None - suppress unless you sell into this function.
1206,"Associate Director, Business Resilience",X_Blocker,Corporate,Enterprise Risk Management,Senior Manager,7,Gatekeeper,Departmental,$25K-$250K,Yes,Direct Report to Decision Maker,"Director, Enterprise Risk Management",Department,"Controls access and approval flow; can stop a decision, cannot make one. Holds veto in Enterprise Risk Management review.",4,"Do not pitch. Assurance content only, or suppress entirely.",None - suppress unless you sell into this function.
1207,"Associate Director, Credit Risk",X_Blocker,Corporate,Enterprise Risk Management,Senior Manager,7,Gatekeeper,Departmental,$25K-$250K,Yes,Direct Report to Decision Maker,"Director, Enterprise Risk Management",Department,"Controls access and approval flow; can stop a decision, cannot make one. Holds veto in Enterprise Risk Management review.",4,"Do not pitch. Assurance content only, or suppress entirely.",None - suppress unless you sell into this function.
1208,"Associate Director, Enterprise Risk Management",X_Blocker,Corporate,Enterprise Risk Management,Senior Manager,7,Gatekeeper,Departmental,$25K-$250K,Yes,Direct Report to Decision Maker,"Director, Enterprise Risk Management",Department,"Controls access and approval flow; can stop a decision, cannot make one. Holds veto in Enterprise Risk Management review.",4,"Do not pitch. Assurance content only, or suppress entirely.",None - suppress unless you sell into this function.
